playerid,difference
steinte01,2
stephve01,1
stewada01,10
stiebda01,3
stirnsn01,1
stockmi01,6
stonege01,5
stonest01,9
stottme01,1
stottto01,12
strasst01,2
strawda01,0
streega01,5
streehu01,0
stromma01,3
stuardi01,6
suhrgu01,6
sullibi03,9
sundbji01,2
suppaje01,11
sutclri01,3
suttebr01,3
suttodo01,10
suzukic01,0
sweened01,2
sweenmi01,12
taborji01,3
tananfr01,3
tayloch03,3
teahema01,4
tebbebi01,12
teixema01,1
tejadmi01,5
templga01,1
tenacge01,3
tennefr02,14
terrybi01,4
terryra01,6
tesreje01,0
tettlmi01,5
thigpbo01,4
thomafr03,7
thomafr04,1
thomago01,9
thomair01,4
thomato02,1
thomeji01,4
thompda01,4
thompro01,7
thondi01,4
thornan01,6
thurmma01,1
thurssl01,1
tiantlu01,11
timlimi01,16
tolanbo01,5
torrejo01,4
trammal01,3
travice01,8
traynpi01,4
treshto01,1
trillma01,6
troutdi01,4
troutmi01,1
trumbma01,6
tudorjo01,6
tulowtr01,4
turlebo01,7
turneji01,0
turneju01,8
ueharko01,4
ugglada01,4
uhlege01,4
uptonju01,4
urbinug01,4
utleych01,3
valenel01,3
valenfe01,1
valenjo02,3
valvejo01,4
vanceda01,8
vandejo01,1
vanslan01,5
varitja01,8
vaughar01,1
vaughgr01,9
vaughhi01,10
vaughmo01,4
venturo01,2
verbaem01,0
verlaju01,1
vernomi01,7
versazo01,4
victosh01,5
vidrojo01,6
vinafe01,8
violafr01,5
vioxji01,1
virdobi01,0
vizquom01,4
voisebi01,2
vosmijo01,5
vottojo01,3
vuckope01,7
wachami01,0
wadderu01,8
wagnebi02,4
wagnehe01,10
wagneho01,11
wagnele01,4
wainwad01,4
wakefdi01,2
wakefti01,18
walberu01,8
walkedi02,13
walkela01,3
walkene01,5
wallabo01,14
wallati01,5
walshed01,4
waltebu01,8
waltoje01,0
wanerll01,0
wanerpa01,1
warnelo01,2
weavebu01,5
webbbr01,3
wegmabi01,6
weisal01,7
weisswa01,1
welchbo01,12
wellsda01,11
wellsve01,4
werbebi01,4
wertzvi01,2
westsa01,6
wettejo01,7
wheatza01,4
whitalo01,1
whitebi03,4
whitede03,3
whiteea01,10
whiteer01,1
whitefr01,4
whitffr01,3
whitnpi01,9
whitter01,12
wietema01,2
willibe02,5
willibi01,2
willicy01,3
willido03,0
