first,playerid,updated_salary,old_salary,increase in %
2011,cruzne02,9441666.666666666667,410023.333333333333,2202.7144796637589800
2011,parrage01,3727583.333333333333,405500.000000000000,819.2560624743115500
2011,grandcu01,13041666.666666666667,2149000.000000000000,506.8714130603381400
2011,aybarer01,7054166.666666666667,826875.000000000000,753.1116150163769200
2011,avilaal01,2655833.333333333333,404900.000000000000,555.9232732361900100
2011,gordoal01,8279166.666666666667,598250.000000000000,1283.8974787574871200
2011,ellsbja01,13813095.166666666667,450666.666666666667,2965.0359097633136100
2011,cabreas01,6470833.333333333333,418200.000000000000,1447.3059142356129400
2011,wietema01,6375375.000000000000,400000.000000000000,1493.8437500000000000
2011,freesda01,3091500.000000000000,400000.000000000000,672.8750000000000000
2011,markani01,12550000.000000000000,2326400.000000000000,439.4601100412654700
2011,uptonju01,12041666.500000000000,504444.333333333333,2287.1150302015485000
2011,kershcl01,14928500.000000000000,422000.000000000000,3437.5592417061611400
2012,dickera01,9150000.000000000000,873000.000000000000,948.1099656357388300
2012,youngde03,3250000.000000000000,2381400.000000000000,36.47434282354917275600
2012,rodnefe01,3970000.000000000000,2175937.500000000000,82.45009335056728421700
2012,sandopa01,10470000.000000000000,455583.333333333333,2198.1525516736784400
2012,scutama01,6444444.666666666667,2020625.000000000000,218.9332343540571200
2012,barneda01,1387400.000000000000,417000.000000000000,232.7098321342925700
2012,strasst01,6110000.000000000000,4375000.000000000000,39.65714285714285714300
2012,hardyjj01,9108551.400000000000,2760142.857142857143,230.0028973655607900
2012,mccutan01,7174999.800000000000,437500.000000000000,1539.9999542857142900
2012,heywaja01,7214057.600000000000,448250.000000000000,1509.3826213050752900
2012,pierzaj01,5350000.000000000000,3356818.181818181818,59.37711577522004063200
2012,desmoia01,5962500.000000000000,420750.000000000000,1317.1122994652406400
2012,priceda01,15586390.800000000000,1959671.000000000000,695.3575268501702600
2012,cabreme01,9800000.000000000000,1328720.000000000000,637.5519296766813200
2012,headlch01,9715000.000000000000,1054733.333333333333,821.0858984893496000
2012,bruceja01,9424999.800000000000,1216388.666666666667,674.8345621985955100
2012,willijo03,7000000.000000000000,2443666.666666666667,186.4547810667030400
2012,larocad01,10500000.000000000000,3475937.500000000000,202.0767778477029600
2013,goldspa01,2633333.250000000000,482000.000000000000,446.3346991701244800
2013,alvarpe01,4107926.000000000000,2125000.000000000000,93.31416470588235294100
2013,carpema01,2938500.000000000000,480000.000000000000,512.1875000000000000
2013,perezsa02,1562500.000000000000,750000.000000000000,108.3333333333333300
2013,davisch02,11729722.500000000000,436246.666666666667,2588.7821492427831300
2013,gomezca01,7075000.000000000000,1079000.000000000000,555.6997219647822100
2013,ueharko01,6812500.000000000000,4250000.000000000000,60.29411764705882352900
2013,cuddymi01,9833333.333333333333,4983249.800000000000,97.32772242991578172500
2013,hosmeer01,4507062.500000000000,502500.000000000000,796.9278606965174100
2013,scherma01,15383714.250000000000,1825000.000000000000,742.9432465753424700
2014,rizzoan01,3845238.000000000000,498000.000000000000,672.1361445783132500
2014,seageky01,4346700.000000000000,497350.000000000000,773.9720518749371700
2014,walkene01,8100000.000000000000,1412333.333333333333,473.5189992919518500
2014,cainlo01,3257000.000000000000,492012.500000000000,561.9750514468636500
2014,bumgama01,6805555.666666666667,642222.333333333333,959.6884152788208900
2014,mcgehca01,2950000.000000000000,960750.000000000000,207.0517824616185300
2014,youngch03,2058333.333333333333,2317857.142857142857,-11.19671289162814587400
2014,brantmi02,4916666.666666666667,461200.000000000000,966.0595547846198300
2014,stantmi03,7333333.333333333333,477666.666666666667,1435.2407536636427100
2014,altuvjo01,2479166.666666666667,494350.000000000000,401.5002865715923300
2014,hollagr01,6462500.000000000000,518325.000000000000,1146.8046110066078200
2015,martijd02,4875000.000000000000,483000.000000000000,909.3167701863354000
2015,cespeyo01,18914023.000000000000,9333333.333333333333,102.6502464285714300
